n	(málfr.)hjáljóðsstavur (nevndur[ɛn:])
nabb	ótætt kenn,eitt lítið nabb var á miðinum;vit vóru við snøri, og har var eitt fitt nabb
nabba	fáa eitt sindur av og á(av fiski el. fugli),vit sótu og nabbaðu nokk so fitt út fyri Søltuvík;vit nabbaðu nakrar fiskar;tað fleyg ikki nógv, men við góðum hugi nabbaði hann kortini fitt;eg nabbaði tveir nátar;sbr.nabbafiskur,nabbafleyg
nabbafiskur	fiskur ið er ótættur at kenna,tá ið nabbafiskur var, tóktist fuglaagn at vera best;sbr.nabb
nabbafleyg	fleyg 1 tá ið lítið er at fáa,tá ið nabbafleyg er, fæst best við langari stong
nabbi	(stn.)nasi, knabbi (1);sms. t.d.nasa-
naddahjól	(sj.)tannhjól
naddakistil	kistil við naddalási, finnuskrín
naddalás	knarvalás
naddamáttur	(tøkni)dunkraft
naddaskrín	skrín við naddalási
naddasneis	(stb.)naddatvørra
naddasteinur	(gl.)spískur steinur
naddatvøra	naddatvørra
naddatvørra	(lítil) greytarsneis við tveimum naddum groyptum á kross upp í niðara enda(so tað verða fýra bløð, t.d. til at røra í greyti við),naddatvøra, naddatvørri;sbr.pannukøkusneis,greytarsneis
naddatvørri	naddatvørra
naddi	1tað ið stingur útúr á lykli til hvølpalás ogeis.inni í lásinum,naddarnir á lyklinum gingu inn í hvølparnar;naddarnir í hvølpalásinum vóru ymiskir til tjúktar og ójavnt útskornir fyri lyklinum2blað á naddatvørruel.greytarsneis,á borðinum liggur greytarsneisin ónosslig við súpan millum naddarnar3spíssur ið stendur eftir inni við hólkin á nógv brýndum knívi,brýn mær naddan burtur4naddarnirbindingarmynstur(HMD Bindm.35);sms. t.d.kettunaddar
naftalin	(evnafr.)hvítt krystallað evni vunnið úr steinkolstjøru(teknC10H8)
naga	(sj.)gnaga,samvitskan pínir og nagar
nagg	nakað av pínu, lítið mein,eg havi sovorðið nagg í tonnini(ikki tannapínu)
-nagg	sífleyta-
nagga	1gníggja,hann situr og naggar føturnar(fyri kulda);nagga eyguninarra eyguni;(flutt m.)hanga uppi í e-m, nálgast upp at e-m,nagga segel.naggast upp at e-m;nagga teg ikki ov mikið upp at honum;naggast upp á e-n;nagga seg uppi á e-m2(stb.,óvand.)mogga
naggatódn	miseydnað tøving(tá ið tað ikki vil tódna),naggatódn kom í1tøvingin miseydnaðist2(flutt m.)stígur kom í,naggatódn er komin í samráðingarnar;fáa naggatódnina úr afturfáa glið á afturt.d.samráðingar
nagghosta	(stb.)hava nagghosta,sit ikki og nagghosta
nagghosti	(stb.)skriðhosti
naglabonkur	(skip.)vatnrættur fastur bjálki við kuffilnaglum til at leggja tog og endar um
