Æ,æ	1málljóð2bókstavur
æble	1súrepli2(fl.m.)æblet falder ikke langt fra stammensum faðirin so sonurin; ilt er kynið í kettu, og so er alt slagið úteftir;bide i det sure æ.gera (eitt) við ringum tannabiti, lata (eitt) um seg ganga, geva seg undir eitt, lata sær (eitt) lynda;stridensæ.trætumál
æbleblomst	súreplablóma, blóman á súreplatrænum
æblebrændevin	súreplabrennivín
æblegelé	súreplalopi, súreplagele
æblegrød	súreplagreytur
æblekage	(súr)eplakaka, (súr)eplakøka
æblekind	kjálkareytt og rundleitt andlit
æblemos	súreplamorl, súreplamos, súreplameyk
æblemost	súrepladrykkur, súreplasaft, súreplasevja, súreplaløgur
æblepie	súreplaterta
æblerose	(plfr.) súreplarósa(Rosa rubiginosa)
æbleskive	holukaka, holukøka, kullukaka, kullukøka
æbleskivepande	holu(køku)panna, kullu(køku)panna
æbleskrog	súreplaskrokkur
æbleskræl	súreplaflus, súreplaskal
æbleskud	súreplarán, súreplastuldur (serst.um børn ið stjala súrepli(r) av trøumt.d.í urtagarði hjá granna)
æblesort	súreplaslag
æbletræ	súreplatræ,(hát.)apaldur
æblevikler	(dý.) súreplavevari(Carpocapsa pomonella)
æblevin	súreplavín
æde1	fóður, matur;give husdyrene æ.geva húsdýrunum(el.fenaðinum)
æde2	1(um dýr) eta, (um fólkniðr.el.skemt.)eta;give dyrene at æ.geva(t.d.seyðinum), ambæta neytunum, leggja fyri kúnna;han spiser ikke, han æderhann etur ikki, han skræðir/koyrir/stappar/rívur/skorar/klesjar/beykar/skrottar í seg;han æder hvad som helsthann etur alt, sum at kjafti/sum fyri kjaftin rekur;møllene har ædt betrækkene opmøplarnir eru farnir í møli2(fl.m.) æ. en fornærmelse i sigtola fornermilsi, lata sær fornermilsi lynda3[lh nútsuml]være ædende gal på énvera rúkandi óður inn á ein
ædedolk	átari, átarahít, átaravætti, átuvomb, áturoppa, skrottari,(gl.)átufressa,(serst.um konufólk) roppa; eitt, ið ikki fyllist
ædegilde	átveitsla
ædel	stórbærur, tignarligur, gøvigur, hásinnaður, háborin, aðalborin; (um málm) dýrur, góð-, dýrmettur, góður;en æ. handlingstórbær/hásinnað gerð;en æ. tankegangstórbærur hugsanarháttur, vera hugsjónarmaður;de ædlere deleinnvølur, (á fólkieis.)skøp(ini), (á dýrum, meneis.á konufólki) burðarliður, burðarlimur;guld, sølv og platin er ædle metallergull, silvur og platin eru dýrur málmur/góðmálmur;en æ. vingott vín
ædelgran	(plfr.) aðalgrann(aviður)(Abies)
ædelmetal	dýrur málmur, góðmálmur, góðmetal
ædelmod	aðallyndi, hásinni
