U1	(bókstavurin) u
U2	(st.)1you (t.d.IOU; C U later)2(am.)university3(í kvikmyndalýsing:universal)loyvdur børnum4(um mál,gl.) Upper Class
UAE	United Arab Emirates
ubiquitarian	(átr.) [lutherskur kirkjulimur sum hevur ta sannføring at Kristus altíð er til staðar allastaðni samstundis]
ubiquitous	sum er allastaðni; altíð hjástaddur
ubiquity	at vera allastaðniel.hjástaddur, alnánd
U-boat	(týskur) kavbátur;pack of U-boatskavbátariðil
UC	University College; University of California College; Urban Council
UCAS	(st.)Universities and Colleges Admissions Service (enskur meginstovnur, sum tekur støðu til umsóknir til høgan lestur)
UCLA	University of California Los Angeles
U.D.	(st.)urban district
UDA	Ulster Defence Association
udal	óðal (í Hetlandi og Orknoyggjum)
udder	júgur
UDI	(st.)unilateral declaration of independence
udometer	regnmálari, regnmátari, regnmát
UDR	(st.)Ulster Defence Regiment
UEFA	Union of European Football Associations
UFF	Ulster Freedom Fighters
UFO	unidentified flying objectókent flogfyribrigdi, flogdiskur
ufologist	ein ið kannar ókend flogfyribrigdi
ufology	kanning(ar) av ókendum flogfyribrigdum
Uganda	(landafr.) Uganda (land í Miðafrika)
Ugandan1	ugandabúgvi, ugandi, ugandari
Ugandan2	1ugandiskur, sum er íel.úr Uganda2(mál) svahili, enskt
ugh	fí, tví; á, áh, oy, oys, uff
ugly	1ljótur (t.d.an ugly house; an ugly duckling),misháttur; avskræmiligur, fúlur (t.d.ugly wound)2beistaktigur, lúsutur; ófrættakendur; ódámligur, andstyggiligur;ugly customeródámligt fólk, lúsakjálki,(óvand.)lortendi3[íyms. samb.](as) ugly asljótur sum ein ólukka, ljótur sum arvasyndin;an ugly ducklingmishátt fólk;the ugly face of warkríggið við øllum tess ræðuleikum
UHF	ultra-high frequency
uh-huh	mm, hm (mutliljóð sum skal skiljast soleiðis, at viðkomandi samtykkirel.tekur undir við tí, sum sagt er)
uh-oh	o dekan, oys
UHT	ultra heat treated (serst.mjólkarúrtráttumviðv.); haldførur
UHT milk	haldfør mjólk
uh-uh	(am.)[mutliljóð sum tekin um, at viðkomandi tekur ikki undir við tí, ið sagt er]
u.i.	ut infrasum niðanfyri
UK	síUnited Kingdom
ukase	boðbræv; almenn yvirlýsing(sø.:ukas var upprunaliga treytaleyst boðbræv frá russiska sarinum)
Ukraine	(landafr.)the UkraineUkraina; síUkrainian
Ukrainian1	ukraini, ukrainari
Ukrainian2	1ukrainskur, ukrainiskur2ukrainskt/ukrainiskt (mál)
ukulele	(4-streingjað ljóðføri) ukilele (ið kanakar í Hawaii nýta)
ulcer	(lækn.)opið sár, sár við tráari gongd;gastric ulcermagasár
ulcerated	fullur av sárum
ulceration	sárgerð, sármyndan
ulcerous	við sárum
ulex	(plfr.) tornablað
uliginous	1mýrikendur2(plfr.) sum grør í mýrilendi
ullage	(um vín, korno.s.fr.) svinn
ulna	(likam.)albogaleggur
ulster	síður, víður frakki (tíðum við reim)
Ulster	síNorthern Ireland
ult.	(st.)ultimate(ly); ultimo
ulterior	sum er seinni, handari, ytriel.longur burtur; seinni, framtíðar-
ulterior motive	duld ætlan, tað at okkurt býr undir;do sth from ulterior motive motivesduld ætlan, gera eitt upp á beráð, gera eitt tilætlað (við tí í hyggju at fáa okkurt burturúr sjálvur)
ultima	síðstur, fjarastur, evstur, handastur;ultima ratiosíðsta orðið; síðsti útvegur;ultima Thulefjarskotin, ómentaður staður (nú grønlendski býurin Qaanaaq), veraldarendi, heimsins endi
ultimate	1endaligur (t.d.decision; responsibility);enda- (t.d.result)2upprunaligur, fyrstur, grund- (t.d.principles, truths)3(um vald, myndugleika) hægsti, ovastur, evstur4(samanborið við annað av sama slagi) verst//best hugsandi (t.d.weapon; humilitation; musical; luxury hotel)5síðstur, ytstur, uttastur, evstur6(serst. tøkn.)hægstur, hámarks-;ultimate loadbrotbyrjing, brottynging, brottyngsla7[íyms.samb.]the ultimate intað frægasta/besta//tað versta/ringasta viðvíkjandi; á hægsta stigi (t.d.luxury; stupidity);framkomnasti, mest framkomni (t.d.computer technology)
ultimately	at enda, at endanum; tá ið samanum kemur, tá ið av tornar, alt samanlagt
ultimatum	kravboð, síðsta sáttartilboð
ultra-	1ovur-, ultra-(t.d.ovurstutt alda), evsta-(t.d.-ljóð), erva- (t.d.violetblákollutur)2(fl.m.)framúr, ovur- (t.d.smart),ógvuliga, ovur- (t.d.cautious)
ultra1	víðgongt fólk
ultra2	víðgongdur;(eis.)frálíkur (t.d.ultra dinner)
ultrabasic	ovurlúthavin, ovurlútkendur
ultraism	víðgongdarstevna, óhóvsstevna, ultraisma
ultraist	víðgongd fólk, óhóvsfólk
ultramarine1	myrkabláur, dimmbláurel.djúpbláur litur
ultramarine2	myrkabláur, dimmbláur, djúpbláur
ultramontanism	[alveldisrørsla í katólsku kirkjuni, sum vil fremja sjónarmiðið um alræði pávans]
ultramontanist	[fólk ið stuðlar hugsjónini um alræði pávans]
ultrared	ultrareyður
ultrasonic	evstaljóð-, ultraljóð-; yvirljóðs-
ultrasound	1ultraljóð2(lækn.)ultraljóðskanning
ultraviolet	ultraviolett
ultra vires	act ultra viresfara út um tær heimildir, ein hevur
ultroneous	av sínum eintingum, sjálvboðin, sjálvkravdur, sjálvbiðin
ululate	(skaldsk.;serst.ísamb.við sorg) ýla, geyla
ululation	(skaldsk.)ýlan, geylan
Ulysses	(sern.)Odysseus (ein av griksku kempunum í Iliónskvæðunum)
um	hmm, hm
umbel	(plfr.)skjól
umbellate	skjólvaksin, skjólskapaður
umbelliferous	(plfr.)skjól-
umbellule	(plfr.)smáskjól
umber1	1dimmbrúnur litur2umbra (dimmbrúnt málm- og manganhavið leir; nýtt sum litingarevni í oljulitum)
umber2	dimmmorreyður, dimmbrúnur, myrkabrúnur
umbilical	nalva-
umbilical cord	(likam.)nalvastrongur
umbilical hernia	(lækn.)nalvalop
umbilicate	1nalvadánaður2sum hevur nalva, útgjørdur við nalva
umbilicus	(likam.)nalvi
umbo	(plfr.)nalvi
umbonate	(plfr.)nalva-
umbra	skuggi; myrkur
umbrage	firtni, tykni, misboð, mistykki, mistokki;give umbragegera firtnan, misbjóða, særa;take umbrageverða firtin, taka (eitt) inn at sær
umbrageous	1(skaldsk.)sum gevur skugga; svalligur2tykkin; illtrúgvin, illtonktur
umbrella1	1regnskjól, paraplý;put up one’s umbrellalata regnskjólið upp2(fl.m.)verja, vørn
umbrella2	felags-
umbrella frame	regnskjólsgrind
umbrella organization	meginfelag, virkjasamskipan, samskipan
umbrella stand	regnskólastativ, paraplýstativ
umbrella term	felagsheiti, samnevni
umiak	konubátur
umlaut1	(málfr.) umljóð (t.d.barn til børn, garðar til gørðum)
umlaut2	(málfr.) umljóða (t.d.maður til menn)
UMP	Union pour un mouvement populaire (UMP) est unparti politiquefrançaisdedroiteet decentre-droit, nommé à sa créationUnion pour la majorité présidentielleen vue de soutenir la candidature duprésidentJacques Chiracà sa propre succession en2002. Il est membre duParti populaire européen, ainsi que de l'Union démocratique internationale, association des partis decentre-droità l'échelle mondiale. Regroupant leRPRetDémocratie libérale, l'UMP est rejoint à sa création par deux tiers des députés de l'Union pour la démocratie française(UDF). Ce parti cherche donc à être unrassemblement de tendancesgaullistes,libérales. L'UMP revendique 171 000 adhérents en juin 2011
umpire1	1(løgfr.)gerðardómari, gerðarrættardómari, ástøðisfólk (í trætu), fólk ið ger úrskurð2(í summum ítróttagreinum) dómari
umpire2	1vera ástøðisfólk, gera úrskurð(o.tíl.);ganga ímillum (at fáa semju), mekla2(ítr.,við ávirki) vera dómari, døma (t.d.umpire a cricket match)
umpteen	talorð (um ótilskilað stórt tal), nógvir, mangir, óteljandi, margtýriligir;umpteen timeshundrað ferðir sum eina ferð
u-mutation	(málfr.) u umljóð
UN	(st.) the United NationsSameindu Tjóðir,(st.)ST
un-	ó-, ikki (t.d.unfavourableólagaligur, bágin);unmailablesum ikki kannel.má sendast við postinum
