a’	(skotskt.) =all(t.d.for a’ that)
a-	1í (t.d.abed, aflame); til;aboardum borð2(við sagnorði)go a-huntingfara at veiða;go a-beggingfara út at bidda; (verður ikki týtt):a crying (, dyingo.tíl.) grátandi (, doyggjandio.tíl.)3(forfesti) [æ; ø;(serst. am.)ei] a(-) (t.d.asocial)
A1	(flt As / A’s)A, a
A2	1(skúli)(uml.)11;(st.)advanced (level)2(film.) (st.)adult(uml.)loyvt børnum undir3(alisfr.) (st.)atom(ic) (t.d.A-bomb)4(st.)Australian (t.d.$A 200)5A 1, A I[besti flokkur í Lloyd's Register];(tlm.)frálíkur; fyrstafloks6høvuðsvegur (t.d.A2 runs from London to Dover)
A3	(st.)Academy; Alto; America(n); angstrom unit; army; Arrive; Artillery; Anno
a4	1ein, eitt (t.d.a door; a table; a uniform; an eel; an eye; an heir; on such a day; a hundred and twenty; a million);a fewnakrir fáir;a very fewógvuliga fáir;a great dealrættiliga nógv;a littleeitt sindur;many a manmangur maður;many a timemangar ferðir, ofta2við (t.d.at a blowvið ein brest); um (t.d.£5 a day; £700 a week; $9 an hour);fyri (t.d.£1 a ton, 40p a pound); two at a timetveir í senn; tveir hvørja ferð; samur (t.d.swords all of a length); they are of an agetey eru javngomul, tey eru um sama aldur;in a wordvið einum orði; stutt sagt3(one like) ein rættiligur (t.d.he thinks he is a Shakespeare)4(a certain) ein (ávísur) (t.d.a Mr. Smith has asked for you)5(verður ikki týtt):he was a journalist; as a boy, he ?; he smokes a pipe; (a chair) without a back; a man in a wig; it can be used as a basis for; as a result; her eyes were a light blueljósablá
a5	(.) ante fyri, frammanundan, áðrenn; arrive, arriving
a6	1(dial.)= he¹; she; it; they; I2fs= of¹ (t.d.Anthony a Wood)
A& M	(st.) (Hymns)Ancient and Modern (sálmabók)
AA	(st.)Alcoholics Anonymous
A.A.	(st.)Automobile Association; Anti-Aircraft
AA	(st.) (Fellow of the)American Academy of Arts and Sciences
AAA	(st.)American Automobile Association; Anti Aircraft Artillery
A.A. F	(st.)Auxiliary Air Force
AAM	(st.)air-to-air missile
a.a. r.	(st.)against all risks
AArating	(handilsm.)fyrstafloks góðska; besti prísur; besta skráseting
aardvark	(dý.)jarðsvín(Orycteropus afer)
aardwolf	(dý.)dvørghýena(Proteles cristatus)
Aaron	(plfr.)kongsljós(Verbascum thapsus)
AB	(st.) able-bodied (seaman); (am.slag av)BA (Bachelor of Arts)
ab.	(st.)about
a/b	(st.)airborne
aback	1bakk,lay aback (sigl.)bakka, liggja bakk2(fl.m.) take abacktaka á bóli, gera ovfarnan;taken abackbilsin, ovfarin3(gl.)aftureftir; aftur4sumfs: aftan fyri t.d. the little strip of pasture aback of the house
abacus	1(byggl.)súlupláta2kúluramma; roknibretti
abaft	1(sigl.)aftanfyri2fsafturi; aftan (fyri);abaft the beam (sigl.)aftan tvøran
abandon1	ovfarakæti;with abandonsleptur leysur, ótamdur; í ovfarakæti (t.d.dance with abandon);(stundum) ógvisligur, sum eitt óløgi; eirindaleysur, óflættiligur; (t.d.he hurled himself into a chair with such abandon[so ógvusliga]that he was like to break it); turn to it with abandonleypa í tað
abandon2	sleppa, missa (t.d.a plan, hope);avlýsa, slíta (t.d.a football match);fara frá (t.d.one’s house, one’s wife);gevast við (e-m), leggja av við (t.d.she was terrifically disciplined a near-impossible quality to abandon); svíkja, sleppa (t.d.one’s ideals, one’s cause);that practice was abandoned long ago (eis:)hasum er fólk langt síðan farin frá;abandon oneself tofalla til (t.d.vice, despair);abandon shipfara í bátarnar
abandoned	1oyðin, mannleysur (t.d.house);be abandoned (eis:)liggja í órøkt;abandoned home(stead) (am. uml.)oyðigarður;abandoned propertyeigaraleys ogn;(løgfr.)derelikt;cemetery of abandoned carsbilakirkjugarður;abandoned wellfrágingin borihol (, brunnur)2óargaligur, skammleysur, siðleysur, ósiðiligur (t.d.way of life); an abandoned charactersiðloysingur, ribbaldur3 (um fólk) vrakaður, sum rekur fyri vág og vind, heimleysur, einsamallur t.d.a home for orphan and abandoned boys
abandonment	1uppgáva; mannloysi2(løgfr.)afturtøkaabandonment of actionafturtøka av lógsøkn3siðloysi; ovfarakæti; svik (t.d.his abandonment of her); delirious abandonmentí vitleysum ovfarakæti
abase	eyðmýkja, veita mannminkan
abasement	eyðmýkt, eyðmýking; mannminkan
abashed	foyur, forskammaður, lotur, nakkalangur
abate	1minka um, skerja (t.d.their zeal)(um prís) lækka, seta niður(um pínu) doyva2minka, lækka,be abating(t.d.the fever is abating)(um vind) minka, maka (t.d.wait for the storm to abate)3(løgfr.)seta úr gildi; strika, taka av, leggja niður, slíta
abatement	1minking, doyving2(um prís) lækking, avsláttur3(løgfr.)avtøka, slit;smoke abatementroykibann
abatis	1(herm.)víggirðing við feldum trøum2píkatráðsforðing
abattage	slátran, slátur
abattoir	sláturhús
abba	(bíbl.)abba [t.e.faðir; heiti fyri biskup í summum kirkjum]
abbacy	ábatatign
abbess	1abbadissa2Sbordellvertinna
abbey	kleysturkirkja;the A = Westminster Abbey
abbot	abbati
abbr(ev).	(st.)abbreviated, abbreviation
abbreviate	stytta
abbreviation	stytting(eis.íteld.)
ABC	1ABC'sfltabc (t.d.he learned little more than his ABC's);alfabet, stavrað;ABC-bookabc2(fl.m.)byrjanargrund (t.d.the ABC of piano playing);grundregla3(st.) American Broadcasting Company; Associated British Cinemas(t.d.the ABC cinema chain); Australian Broadcasting Commission1alfabet, stavrað;(flt) he learned little more than his ABC'shann lærdi lítið meira enn alfabetið;ABC-book (el. spelling book)stavibók2(fl.m.)byrjanargrund; grundregla;the ABC of piano playinggrundreglurnar fyri at spæla klaver3(st.)American Broadcasting Company4(st.)Associated British Cinemas (t.d.the ABC cinema chain)5(st.)Australian Broadcasting Commission
A. B. C. D.	(st.)American,British,Chinese,Dutch [londini, ið bardust móti Japan í seinna heimsbardaga]
AB C Powers	Argentina,Brasilia ogChile
abdicate	1sleppa (t.d.all responsibility),siga frá sær2(um ríkisstjóra) siga (, geva, lata) valdið frá sær; siga (, geva, lata) kongskrúnu frá sær;the crown princess decided to abdicatekrúnprinsessan gjørdi av at siga krúnuna frá sær3reka frá sær (t.d.one's son)
abdication	avsøgn
abdomen	1(undir)lív, kvið(ur), búkur2(hjá skordýrum) afturkroppur
abdominal	undirlívs- (t.d.operation);búk- (t.d.muscle); abdominal cavitybúkhola
abdominous	búkutur, búkstórur, búkmikil, tjúkkur, vambarsíður,
abduct	1ræna, flyta burtur (t.d.the girl wasabductedby kidnappers)2toyggja, strekkja (t.d.a muscle thatabductsthe arm)
abduction	rán, burturflutningur
abductor	1burturflytari, rænari2(likam.)útliðari (um vødda og rørsluna í liðnum)
abeam	tvørs, tvørskips (t.d.get the sea (, wind) abeam);abeam oftvørs av
abecedarian1	begynnari
abecedarian2	byrjanar-, grundleggjandi
abele	(plfr.)hvítur poppil, silvurpoppil(Populus alba)
Aberdeen	(terrier)strýggjutur skotskur terriari
Aberdonian1	íbúgvi í Aberdeen
Aberdonian2	aberdeenskur-; úr Aberdeen
aberrance	1frávik2villa
aberrant	frávíkjandi, frábregðandi, villandi
aberration	frávik (t.d.aberrations of character; linguistic aberrations), ørvitska;(stjfr., al.)frábregði, ljósfrábregði;mental aberrationørskapur;aberration of memoryminnisskúgving; ranglæra, skeivleiki (t.d.the aberrations of popular science)
abet	(løgfr.)stuðla og eggja til ilt verk;aid and abetvera samsekur, vera uppií;aided and abetted byuppií, sum er uppií, samábyrgdur
abetment	(løgfr.)stuðul, eggjan til ilt verk; samsekt
abetter,abettor	(løgfr.)studningsmaður (til misgerð); samsekur; hjálpari
abeyance	1be in abeyanceliggja stilt, hvíla (t.d.membership in abeyance), ikki í nýtslu; við ongum eigara2í óvissu, óavgjørdur (t.d.the matter remains in abeyance)
abhor	ikki torga
abhorrence	vaml, andstygd,it is my abhorrencetað er tað ringasta eg veit
abhorrent	andstyggiligur, vamlisligur;abhorrent to (eis.)ósambæriligur við, ikki samtykkja við
abidance	1drál, dvøl2lýdni (mótvegis lóg, reglumosfr.); abidance by the ruleslýdni mótvegis reglunum
abide	1verða verandi (t.d.the word of God abideth forever; abide with me O Lord)2halda sína støðu mótvegis (t.d.the onrush of the enemy)3gera eftir, liva eftir (t.d.a decision; one’s instructions; the law)4abide byhalda (t.d.a promise)5(gl.)dvølja;abide the course of eventsvita hvussu leikur fer6tola, torga;I can’t abide thathatta dámar (líkar) mær als ikki, eg kann ikki torga hatta;I cannot abide to stay in one position for longeg toli ikki at standa í somu støðu leingi; (halda út) (t.d.misfortunes; a hard trial)
abiding	verandi, varandi (t.d.features; value; the abiding popularity of this author; music is his abiding passion)
abigail	kamarsgenta
ability	1evni, førleiki; dugnaskapur; dugurto the best of my abilityeftir (besta) førimuni, so frægt eg dugiability to writeskriviførleiki2abilities fltevni; andsevni (t.d.my small abilities)
abiotic	(nýggjy., lívfr.) ólivin
abject	neyðarsligur, vanvirðisligur, krúpandi;vesaligur (t.d.conditions);eyðmjúkur (t.d.apology);krúpandi, vanvirðilig (t.d.his abject flattery of the tyrant)abject despairsvartasta vónloysi
abjection	1vesal(a)dómur, vesal(a)dømi2eyðmýkt3burturrekstur (t.d.from God)
abjuration	avsvørjan
abjure	avsvørja, geva upp (t.d.one’s religion);abjure the realmsvørja eið um at fara úr landinum
ablate	bræða, bræða burtur; lætta av
ablation	1burturbeining; bræðing, burturbræðing2(jarðfr.)avlætting
ablative	(máll.)ablativ
ablaut	(máll.)avljóð;ablaut classavljóðaflokkur
ablaze	be ablazeí ljósum loga;set ablazeseta eld á;(fl.m.) ablaze withstrála, geisa, glógva, loga;be ablaze withstrálandi, geisandi, glógvandi, logandi (t.d.enthusiasm; his face all ablaze with excitement; ablaze with lighted Christmas trees)
able	1dugnaligur, dugandi, kringur (t.d.lawyer; an able piece of work)2be able tokunna, duga, vera førur fyri, vera mentur, megna, orka (t.d.cranes able to lift 10 tons)3(likamliga) væl fyri (t.d.he is old but still quite able)4væl gjørdur, væl frágingin (t.d.an able portrait)
able-bodied	1raskur, menskur, sterkur, arbeiðsførur2(sigl.)royndur, fulltikin (t.d.able-bodied seaman)
ableism	førismismunur(t.d.a person with a disability can struggle with ableism)
abloom	(bókm.)í blóma
ablution	1(ísamb. v.halgisið) reinsan, likamstváttur2(skemt.)bað,(skemt.) perform one’s ablutionstváa sín kropp, fáa sær bað;ablutions flt (eis.) (herm.)vaskirúm
ably	dugnaliga
AB M	(st.)anti-ballistic missile
abnegation	formlig (sjálvs)avnoktan
abnormal	óvanligur, órættvorðin
abnormality	(lækn.)frábrigdi, abnormitetur
abnormity	(gl.)síabnormality
