Q1	(bókstavurin) q
Q2	(st.)1Queen2question
QA	(st.)quality assurance
Q&A	(st.)Questions andAnswersSpurningar ogSvar
Qatar	(landafr.) Katar (land í Miðeystri við Persaflógva)
Qatari1	katarbúgvi
Qatari2	katarskur
QB	(st.)Queen’s Bench
QC	(st.)1Queen’s Counsel2Queen’s College3quality control
q. e.	(st.)quod est(lat.)tað er, sum merkir
QED	(st.) quod erat demonstrandumsum skuldi prógvast
QM	(st.)Quartermaster
qr.	(st.)quarter(s)
QS	(st.)Quarter Sessions
qt.	(st.)1quantity2quart
qt	(st.) on the qtí loyndum, í smog, so eingin sær
Q-Tip ®	(am.)vattpinnur
qua	(la.)sum (í eginleika av)
quack1	1viðfáningslækni,(tlm.)kvakksalvari2gvaggan, kvaggan, sutlan
quack2	gvagga, kvagga, sutla
quack3	kvakksalvara-
quack doctor	viðfáningslækni,(tlm.)kvakksalvari, leiklækni
quackery	kvakksalvaraskapur
quack-quack	(barnam.)dunnubilla
quad1	(prent.)ferhyrnt regluífylla
quad2	1quadrangle2quadraphonic3quadruplet
quadragenarian	fjøruti ára gamalt fólk, fólk í fjørutiárunum
Quadragesima	fyrsti sunnudagur í føstu
quadrangle	1fýrakantur, ferhyrningur, fjórhyrningur(serst.rætthyrningur), puntur2fýrakantað tún, fýrakantaður garður við lonum uttanum(serst.ísamb.viðuniversity colleges)
quadrangular	fýrakantaður, ferhyrntur, fjórhyrntur
quadrant	1fjórðingur av kringi; fjórðingsbogi, fjórðingsgeiri (sum er 90°)2fjórðingur (fjórðingsflati í krossskipan)
quadraphonic	ferljóðs-, kvadrofoniskur (ísamb.við upptøkuel.hátalara, sum hevur fýra ræsur)
quadraphony	ferljóð, kvadrofoni
quadrat	síquad2
quadrate1	fýrakantur, ferhyrningur, ferningur, fjórhyrningur, rætthyrningur, puntur
quadrate2	puntskapa;quadrate the circleloysa kringsins kvadratur;quadrate with(fáa) at samsvara við
quadrate3	ferhyrnings-, fernings-, puntskapaður, ferhyrntur, fýrakantaður
quadratic	puntskapaður, ferhyrntur, fýrakantaður;quadratic equationlíkning á øðrum stigi,(tlm.)annangradslíkning
quadrature	kvadraturur;(stjfr.)tvørstøða;the quadrature of the circlekvadraturur kringsins
quadrennial1	hending/hátíðarhald sum fer fram hvørt fjórða ár
quadrennial2	fýraára- (t.d.period) ; sum hendir fjórða hvørt ár, sum fer fram fjórða hvørt ár
quadrennium	fýraáraskeið
quadri-	fýra- (t.d.quadrilingualsum dugir fýra mál)
quadrifid	(plfr.) fýrsmæra
quadrilateral1	fýrakantur, ferhyrningur, fjórhyrningur
quadrilateral2	fýrakantaður, ferhyrntur, fýrstrentur, fjórhyrntur, hornrættur, rætthyrntur
quadrilingual	sum talar/dugir fýra mál
quadrille	(dansur) kvadrilla
quadrillion	billiard (= 1015);(am.)túsund billiónir
quadripartite	ferliða-, ferliðaður; sum er í fýra lutumel.eindum; sum fevnir um fýra partar
quadriplegic1	fólk sum er lamið í útlimunum (í ørmum og beinum)
quadriplegic2	lamin í útlimunum (ørmum og beinum)
quadrivalent	(evnafr.)fergildur, tetravalentur (sum hevur fýra gildi)
quadro-	síquadra-
